Call Center;Group;Operator_name;Month;contacts_per_hour;csat_percent;fcr_percent;qc_score
КЦ 1;Группа 1;Operator_001;Месяц 1;12.5;50.8;77.8;72.8
КЦ 1;Группа 1;Operator_002;Месяц 1;9.8;67.7;83.1;65.2
КЦ 1;Группа 1;Operator_003;Месяц 1;11.8;79.2;78.8;84.3
КЦ 1;Группа 1;Operator_004;Месяц 1;10.1;60.9;78.7;72.3
КЦ 1;Группа 1;Operator_005;Месяц 1;13.6;73.3;77.3;66.1
КЦ 1;Группа 1;Operator_006;Месяц 1;13.8;57.9;80.8;96.4
КЦ 1;Группа 1;Operator_007;Месяц 1;14;65.9;84.7;95.1
КЦ 1;Группа 1;Operator_008;Месяц 1;8.1;55.4;84.1;95.5
КЦ 1;Группа 1;Operator_009;Месяц 1;8.4;74.9;78.1;67.0
КЦ 1;Группа 1;Operator_010;Месяц 1;14.9;56.4;80.4;90.5
КЦ 1;Группа 1;Operator_011;Месяц 1;11.8;68.9;77.3;96.7
КЦ 1;Группа 1;Operator_012;Месяц 1;7.6;62.9;79.2;81.3
КЦ 1;Группа 1;Operator_013;Месяц 1;11.5;77.7;79.4;95.1
КЦ 1;Группа 1;Operator_014;Месяц 1;12.3;79.6;77.7;92.4
КЦ 1;Группа 1;Operator_015;Месяц 1;14;67.5;80.0;94.8
КЦ 1;Группа 1;Operator_016;Месяц 1;9.2;67.5;80.2;97.7
КЦ 1;Группа 2;Operator_017;Месяц 1;14.7;56.4;77.7;97.7
КЦ 1;Группа 2;Operator_018;Месяц 1;10.7;78.2;76.3;69.0
КЦ 1;Группа 2;Operator_019;Месяц 1;10.6;58.3;75.0;92.0
КЦ 1;Группа 2;Operator_020;Месяц 1;11.3;53.8;78.1;96.5
КЦ 1;Группа 2;Operator_021;Месяц 1;10;79.3;83.1;95.8
КЦ 1;Группа 2;Operator_022;Месяц 1;10.2;74.5;79.6;75.7
КЦ 1;Группа 2;Operator_023;Месяц 1;12.3;53.5;84.7;71.2
КЦ 1;Группа 2;Operator_024;Месяц 1;6.7;77.8;80.4;90.2
КЦ 1;Группа 2;Operator_025;Месяц 1;9;58.9;76.3;79.7
КЦ 1;Группа 2;Operator_026;Месяц 1;11.5;56.4;79.7;96.5
КЦ 1;Группа 2;Operator_027;Месяц 1;11.8;64.3;83.5;67.5
КЦ 1;Группа 2;Operator_028;Месяц 1;8.4;78.7;80.2;66.8
КЦ 1;Группа 2;Operator_029;Месяц 1;8.3;66.4;84.0;91.0
КЦ 1;Группа 2;Operator_030;Месяц 1;10.2;54.2;77.3;89.3
КЦ 1;Группа 2;Operator_031;Месяц 1;14.4;50.2;78.5;91.4
КЦ 1;Группа 2;Operator_032;Месяц 1;14.6;55.0;79.7;69.5
КЦ 1;Группа 2;Operator_033;Месяц 1;12;61.4;82.5;94.1
КЦ 2;Группа 3;Operator_034;Месяц 1;11.9;54.6;76.3;88.4
КЦ 2;Группа 3;Operator_035;Месяц 1;10.5;70.3;84.6;78.9
КЦ 2;Группа 3;Operator_036;Месяц 1;7.5;61.1;80.1;76.9
КЦ 2;Группа 3;Operator_037;Месяц 1;11.6;64.5;79.4;90.6
КЦ 2;Группа 3;Operator_038;Месяц 1;11.8;73.9;78.4;95.8
КЦ 2;Группа 3;Operator_039;Месяц 1;11.4;56.6;81.9;75.7
КЦ 2;Группа 3;Operator_040;Месяц 1;12.8;72.9;76.9;72.6
КЦ 2;Группа 3;Operator_041;Месяц 1;13.6;66.6;82.0;69.4
КЦ 2;Группа 3;Operator_042;Месяц 1;13.2;68.9;75.5;70.2
КЦ 2;Группа 3;Operator_043;Месяц 1;9;59.2;81.2;86.3
КЦ 2;Группа 3;Operator_044;Месяц 1;8.9;71.2;82.0;80.9
КЦ 2;Группа 4;Operator_045;Месяц 1;8.2;59.2;82.5;84.9
КЦ 2;Группа 4;Operator_046;Месяц 1;11.9;78.9;83.4;85.1
КЦ 2;Группа 4;Operator_047;Месяц 1;8.7;52.7;78.5;76.7
КЦ 2;Группа 4;Operator_048;Месяц 1;14.2;65.4;84.9;88.0
КЦ 2;Группа 4;Operator_049;Месяц 1;12.5;79.2;81.1;73.4
КЦ 2;Группа 4;Operator_050;Месяц 1;9.1;75.0;84.8;73.5
КЦ 2;Группа 4;Operator_051;Месяц 1;10.8;59.0;80.9;100.0
КЦ 2;Группа 4;Operator_052;Месяц 1;14;51.3;82.4;89.7
КЦ 2;Группа 4;Operator_053;Месяц 1;7.8;63.7;82.2;79.3
КЦ 2;Группа 4;Operator_054;Месяц 1;11.3;72.8;83.7;66.3
КЦ 2;Группа 4;Operator_055;Месяц 1;7.2;73.9;77.9;78.1
КЦ 2;Группа 5;Operator_056;Месяц 1;13.9;57.7;75.1;93.2
КЦ 2;Группа 5;Operator_057;Месяц 1;9.7;57.1;80.7;85.1
КЦ 2;Группа 5;Operator_058;Месяц 1;14.3;74.0;81.1;77.3
КЦ 2;Группа 5;Operator_059;Месяц 1;13.9;52.7;78.0;91.2
КЦ 2;Группа 5;Operator_060;Месяц 1;12.9;53.5;84.6;69.9
КЦ 2;Группа 5;Operator_061;Месяц 1;6.9;67.5;83.2;97.9
КЦ 2;Группа 5;Operator_062;Месяц 1;9.5;78.4;78.0;82.2
КЦ 2;Группа 5;Operator_063;Месяц 1;13.6;62.2;84.5;66.1
КЦ 2;Группа 5;Operator_064;Месяц 1;14.4;63.6;81.6;87.5
КЦ 2;Группа 5;Operator_065;Месяц 1;13.9;77.0;75.0;95.0
КЦ 2;Группа 5;Operator_066;Месяц 1;13;65.8;82.5;81.7
КЦ 3;Группа 6;Operator_067;Месяц 1;7.4;62.0;81.9;82.2
КЦ 3;Группа 6;Operator_068;Месяц 1;9.3;53.0;82.0;94.8
КЦ 3;Группа 6;Operator_069;Месяц 1;12.2;54.6;84.2;67.3
КЦ 3;Группа 6;Operator_070;Месяц 1;14.4;76.0;82.2;98.9
КЦ 3;Группа 6;Operator_071;Месяц 1;13.9;79.2;83.2;86.5
КЦ 3;Группа 6;Operator_072;Месяц 1;8.7;54.3;81.3;66.1
КЦ 3;Группа 6;Operator_073;Месяц 1;8.9;58.2;81.6;82.0
КЦ 3;Группа 6;Operator_074;Месяц 1;11;59.0;77.1;69.8
КЦ 3;Группа 6;Operator_075;Месяц 1;11;50.6;84.2;95.2
КЦ 3;Группа 6;Operator_076;Месяц 1;10.1;57.3;80.9;83.3
КЦ 3;Группа 6;Operator_077;Месяц 1;9.9;57.1;76.5;71.9
КЦ 3;Группа 6;Operator_078;Месяц 1;13.6;75.9;81.3;70.3
КЦ 3;Группа 6;Operator_079;Месяц 1;13.2;68.5;80.1;81.2
КЦ 3;Группа 6;Operator_080;Месяц 1;11.8;71.4;80.0;71.0
КЦ 3;Группа 6;Operator_081;Месяц 1;11.3;52.8;81.8;74.9
КЦ 3;Группа 6;Operator_082;Месяц 1;11.2;59.3;78.8;92.7
КЦ 3;Группа 7;Operator_083;Месяц 1;9.3;64.6;77.3;69.8
КЦ 3;Группа 7;Operator_084;Месяц 1;15;73.1;83.1;70.8
КЦ 3;Группа 7;Operator_085;Месяц 1;7.2;61.0;84.5;99.5
КЦ 3;Группа 7;Operator_086;Месяц 1;12.6;75.4;83.5;75.0
КЦ 3;Группа 7;Operator_087;Месяц 1;13.7;79.8;78.7;66.0
КЦ 3;Группа 7;Operator_088;Месяц 1;7.9;57.7;83.3;84.2
КЦ 3;Группа 7;Operator_089;Месяц 1;8.7;65.5;77.4;70.0
КЦ 3;Группа 7;Operator_090;Месяц 1;11.2;64.1;81.4;99.3
КЦ 3;Группа 7;Operator_091;Месяц 1;10.7;73.4;79.6;89.3
КЦ 3;Группа 7;Operator_092;Месяц 1;9.4;57.6;82.5;71.7
КЦ 3;Группа 7;Operator_093;Месяц 1;10.1;77.7;80.2;93.0
КЦ 3;Группа 7;Operator_094;Месяц 1;14.1;51.3;83.7;77.3
КЦ 3;Группа 7;Operator_095;Месяц 1;11.9;51.0;75.7;92.2
КЦ 3;Группа 7;Operator_096;Месяц 1;8.7;53.4;82.4;82.5
КЦ 3;Группа 7;Operator_097;Месяц 1;13.1;63.4;75.9;88.9
КЦ 3;Группа 7;Operator_098;Месяц 1;13.6;56.0;76.4;92.7
КЦ 3;Группа 7;Operator_099;Месяц 1;8.2;52.2;84.7;87.5
КЦ 3;Группа 7;Operator_100;Месяц 1;11.6;54.9;78.2;89.8
КЦ 1;Группа 1;Operator_001;Месяц 2;8;70.3;83.9;68.0
КЦ 1;Группа 1;Operator_002;Месяц 2;13.8;70.9;78.4;70.4
КЦ 1;Группа 1;Operator_003;Месяц 2;14.6;68.6;83.6;85.2
КЦ 1;Группа 1;Operator_004;Месяц 2;11.4;78.1;81.5;86.3
КЦ 1;Группа 1;Operator_005;Месяц 2;12.3;58.0;77.1;98.0
КЦ 1;Группа 1;Operator_006;Месяц 2;7.9;56.6;85.0;82.8
КЦ 1;Группа 1;Operator_007;Месяц 2;7.9;71.6;81.8;83.8
КЦ 1;Группа 1;Operator_008;Месяц 2;7.9;69.2;81.1;70.3
КЦ 1;Группа 1;Operator_009;Месяц 2;12.7;78.4;75.9;82.0
КЦ 1;Группа 1;Operator_010;Месяц 2;10;59.4;85.0;87.7
КЦ 1;Группа 1;Operator_011;Месяц 2;12.4;52.1;77.4;88.4
КЦ 1;Группа 1;Operator_012;Месяц 2;11.9;70.2;84.8;68.4
КЦ 1;Группа 1;Operator_013;Месяц 2;7.9;51.5;85.0;94.3
КЦ 1;Группа 1;Operator_014;Месяц 2;13.9;62.7;84.6;99.8
КЦ 1;Группа 1;Operator_015;Месяц 2;12.5;78.8;75.8;71.5
КЦ 1;Группа 1;Operator_016;Месяц 2;12.5;71.5;77.4;78.9
КЦ 1;Группа 2;Operator_017;Месяц 2;8.8;76.4;78.7;70.5
КЦ 1;Группа 2;Operator_018;Месяц 2;11.9;66.6;77.7;86.2
КЦ 1;Группа 2;Operator_019;Месяц 2;7.9;57.9;82.4;84.3
КЦ 1;Группа 2;Operator_020;Месяц 2;8.1;75.8;84.0;72.4
КЦ 1;Группа 2;Operator_021;Месяц 2;10.1;72.1;78.3;97.6
КЦ 1;Группа 2;Operator_022;Месяц 2;12.8;56.8;75.2;71.8
КЦ 1;Группа 2;Operator_023;Месяц 2;12.8;58.0;76.1;80.2
КЦ 1;Группа 2;Operator_024;Месяц 2;10.2;70.1;78.6;67.4
КЦ 1;Группа 2;Operator_025;Месяц 2;8;70.3;84.0;86.5
КЦ 1;Группа 2;Operator_026;Месяц 2;6.9;55.1;75.8;83.0
КЦ 1;Группа 2;Operator_027;Месяц 2;9.4;68.9;76.9;89.4
КЦ 1;Группа 2;Operator_028;Месяц 2;12.2;75.5;79.6;93.0
КЦ 1;Группа 2;Operator_029;Месяц 2;12.3;57.8;77.5;87.3
КЦ 1;Группа 2;Operator_030;Месяц 2;8.6;51.9;79.1;84.0
КЦ 1;Группа 2;Operator_031;Месяц 2;6.8;78.6;79.2;91.2
КЦ 1;Группа 2;Operator_032;Месяц 2;11.9;50.8;78.9;84.8
КЦ 1;Группа 2;Operator_033;Месяц 2;8.7;52.5;75.2;83.9
КЦ 2;Группа 3;Operator_034;Месяц 2;7.3;56.5;82.0;91.8
