Month;Call center;KPI;Target
Месяц 1;КЦ 1;контакты в час;10.0
Месяц 1;КЦ 1;csat, %;50.0
Месяц 1;КЦ 1;fcr, %;78.0
Месяц 1;КЦ 1;qc;80.0
Месяц 1;КЦ 2;контакты в час;9.0
Месяц 1;КЦ 2;csat, %;65.0
Месяц 1;КЦ 2;fcr, %;83.0
Месяц 1;КЦ 2;qc;85.0
Месяц 1;КЦ 3;контакты в час;12.0
Месяц 1;КЦ 3;csat, %;55.0
Месяц 1;КЦ 3;fcr, %;77.0
Месяц 1;КЦ 3;qc;85.0
Месяц 2;КЦ 1;контакты в час;10.0
Месяц 2;КЦ 1;csat, %;50.0
Месяц 2;КЦ 1;fcr, %;78.0
Месяц 2;КЦ 1;qc;80.0
Месяц 2;КЦ 2;контакты в час;9.0
Месяц 2;КЦ 2;csat, %;65.0
Месяц 2;КЦ 2;fcr, %;83.0
Месяц 2;КЦ 2;qc;85.0
Месяц 2;КЦ 3;контакты в час;12.0
Месяц 2;КЦ 3;csat, %;55.0
Месяц 2;КЦ 3;fcr, %;77.0
Месяц 2;КЦ 3;qc;85.0
Месяц 3;КЦ 1;контакты в час;10.0
Месяц 3;КЦ 1;csat, %;50.0
Месяц 3;КЦ 1;fcr, %;78.0
Месяц 3;КЦ 1;qc;80.0
Месяц 3;КЦ 2;контакты в час;9.0
Месяц 3;КЦ 2;csat, %;65.0
Месяц 3;КЦ 2;fcr, %;83.0
Месяц 3;КЦ 2;qc;85.0
Месяц 3;КЦ 3;контакты в час;12.0
Месяц 3;КЦ 3;csat, %;55.0
Месяц 3;КЦ 3;fcr, %;77.0
Месяц 3;КЦ 3;qc;85.0
Месяц 4;КЦ 1;контакты в час;11.0
Месяц 4;КЦ 1;csat, %;52.0
Месяц 4;КЦ 1;fcr, %;78.0
Месяц 4;КЦ 1;qc;82.0
Месяц 4;КЦ 2;контакты в час;9.0
Месяц 4;КЦ 2;csat, %;68.0
Месяц 4;КЦ 2;fcr, %;85.0
Месяц 4;КЦ 2;qc;88.0
Месяц 4;КЦ 3;контакты в час;13.0
Месяц 4;КЦ 3;csat, %;57.0
Месяц 4;КЦ 3;fcr, %;77.0
Месяц 4;КЦ 3;qc;85.0
Месяц 5;КЦ 1;контакты в час;11.0
Месяц 5;КЦ 1;csat, %;52.0
Месяц 5;КЦ 1;fcr, %;78.0
Месяц 5;КЦ 1;qc;82.0
Месяц 5;КЦ 2;контакты в час;9.0
Месяц 5;КЦ 2;csat, %;68.0
Месяц 5;КЦ 2;fcr, %;85.0
Месяц 5;КЦ 2;qc;88.0
Месяц 5;КЦ 3;контакты в час;13.0
Месяц 5;КЦ 3;csat, %;57.0
Месяц 5;КЦ 3;fcr, %;77.0
Месяц 5;КЦ 3;qc;85.0
Месяц 6;КЦ 1;контакты в час;11.0
Месяц 6;КЦ 1;csat, %;52.0
Месяц 6;КЦ 1;fcr, %;78.0
Месяц 6;КЦ 1;qc;82.0
Месяц 6;КЦ 2;контакты в час;9.0
Месяц 6;КЦ 2;csat, %;68.0
Месяц 6;КЦ 2;fcr, %;85.0
Месяц 6;КЦ 2;qc;88.0
Месяц 6;КЦ 3;контакты в час;13.0
Месяц 6;КЦ 3;csat, %;57.0
Месяц 6;КЦ 3;fcr, %;77.0
Месяц 6;КЦ 3;qc;85.0
